id,ICAO CODE,IATA CODE,AIRPORT NAME,CITY,COUNTRY,Latitude,Longitude
245,DAUG,GHA,NOUMERATE,GHARDAIA,ALGERIA,32.384,3.794
246,DAUH,HME,OUED IRARA,HASSI-MESSAOUD,ALGERIA,31.673,6.14
247,DAUI,INZ,IN SALAH,IN SALAH,ALGERIA,27.251,2.512
248,DAUK,TGR,SIDI MAHDI,TOUGGOURT,ALGERIA,33.068,6.089
249,DAUL,LOO,LAGHOUAT,LAGHOUAT,ALGERIA,33.764,2.927
250,DAUT,TMX,TIMIMOUN,TIMIMOUN,ALGERIA,29.237,0.276
251,DAUU,OGX,OUARGLA,OUARGLA,ALGERIA,31.917,5.413
252,DAUZ,IAM,IN AMENAS,ZARZAITINE,ALGERIA,28.051,9.643
253,DBBB,COO,COTONOU CADJEHOUN,COTONOU,BENIN,6.357,2.384
254,DBBP,PKO,PARAKOU,PARAKOU,BENIN,9.357,2.609
255,DFFD,OUA,OUAGADOUGOU,OUAGADOUGOU,BURKINA FASO,12.353,-1.512
256,DFOO,BOY,BOBO DIOULASSO,BOBO-DIOULASSO,BURKINA FASO,11.16,-4.331
257,DGAA,ACC,KOTOKA INTERNATIONAL,ACCRA,GHANA,5.603,-0.168
258,DGLE,TML,TAMALE,TAMALE,GHANA,9.563,-0.863
259,DGLW,N/A,WA,WA,GHANA,10.082,-2.507
260,DGSN,NYI,SUNYANI,SUNYANI,GHANA,7.362,-2.329
261,DGTK,TKD,TAKORADI,TAKORADI,GHANA,4.893,-1.775
262,DIAP,ABJ,ABIDJAN FELIX HOUPHOUET BOIGNY INTERNATIONAL,ABIDJAN,IVORY COAST,5.26,-3.926
263,DIBK,BYK,BOUAKE,BOUAKE,IVORY COAST,7.739,-5.074
264,DIDL,DJO,DALOA,DALOA,IVORY COAST,6.792,-6.473
265,DIKO,HGO,KORHOGO,KORHOGO,IVORY COAST,9.387,-5.556
266,DIMN,MJC,MAN,MAN,IVORY COAST,7.272,-7.587
267,DISP,SPY,SAN PEDRO,SAN PEDRO,IVORY COAST,4.747,-6.661
268,DIYO,ASK,YAMOUSSOUKRO,YAMOUSSOUKRO,IVORY COAST,6.903,-5.366
269,DNAA,ABV,ABUJA NNAMDI AZIKIWE INTERNATIONAL,ABUJA,NIGERIA,9.007,7.263
270,DNAK,AKR,AKURE,AKURE,NIGERIA,7.247,5.301
271,DNBE,BNI,BENIN,BENIN,NIGERIA,6.317,5.599
272,DNCA,CBQ,CALABAR,CALABAR,NIGERIA,4.976,8.347
273,DNEN,ENU,ENUGU,ENUGU,NIGERIA,6.474,7.562
274,DNGU,QUS,GUSAU,GUSAU,NIGERIA,12.172,6.696
275,DNIB,IBA,IBADAN,IBADAN,NIGERIA,7.362,3.978
276,DNIL,ILR,ILORIN,ILORIN,NIGERIA,8.44,4.494
277,DNJO,JOS,JOS,JOS,NIGERIA,9.64,8.869
278,DNKA,KAD,KADUNA,KADUNA,NIGERIA,10.696,7.32
279,DNKN,KAN,KANO MALLAM AMINU INTERNATIONAL,KANO,NIGERIA,12.047,8.524
280,DNMA,MIU,MAIDUGURI,MAIDUGURI,NIGERIA,11.855,13.081
281,DNMK,MDI,MAKURDI,MAKURDI,NIGERIA,7.704,8.614
282,DNMM,LOS,LAGOS MURTALA MUHAMMED,LAGOS,NIGERIA,6.577,3.321
283,DNMN,MXJ,MINNA NEW,MINNA,NIGERIA,9.652,6.462
284,DNPO,PHC,PORT HARCOURT INTERNATIONAL,PORT HARTCOURT,NIGERIA,5.015,6.949
285,DNSO,SKO,SADIQ ABUBAKAR III INTERNATIONAL,SOKOTO,NIGERIA,12.916,5.207
286,DNYO,YOL,YOLA,YOLA,NIGERIA,9.26,12.43
287,DNZA,ZAR,ZARIA,ZARIA,NIGERIA,11.13,7.686
288,DRRM,MFG,MARADI,MARADI,NIGER,13.502,7.127
